ArtistId,Name,Album,Artist,ReleasedDate,AddedAt,DurationMS,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo
54QMjE4toDfiCryzYWCpXX,Reservoir,Love Letters,Metronomy,2014-03-10,2022-08-06T16:36:44Z,194735,55,0.384,0.737,0.457,0.381,0.104,-8.547,0.0339,147.947
54QMjE4toDfiCryzYWCpXX,Never Wanted,Love Letters,Metronomy,2014-03-10,2022-08-06T16:37:44Z,276219,30,0.659,0.646,0.0781,0.000873,0.112,-17.252,0.0357,143.479
54QMjE4toDfiCryzYWCpXX,Old Skool - Fatima Yamaha Remix,Old Skool (Fatima Yamaha Remix),Metronomy,2016-06-03,2022-08-06T16:40:27Z,289200,14,0.00221,0.762,0.46,0.193,0.0466,-8.626,0.0757,120.013
4PwlsrN0t5mLN0C827cbEU,Submarine,Tako Tsubo,L'Impératrice,2021-03-26,2022-08-14T13:56:07Z,285574,47,0.208,0.843,0.441,0.00226,0.18,-11.659,0.048,114.035
2iGwIqfIXRskkGakunO9sf,J'y peux rien,Miel de Montagne,Miel De Montagne,2019-04-05,2022-08-21T14:32:31Z,181803,61,0.129,0.806,0.458,0.322,0.0998,-11.019,0.0382,114.019
4PwlsrN0t5mLN0C827cbEU,Tombée pour la scène,Tako Tsubo,L'Impératrice,2021-03-26,2022-08-21T14:56:56Z,212186,39,0.519,0.717,0.455,0.768,0.0888,-14.174,0.0461,105.034
2rdtngq3t4zQwluqyGfZuS,Guess What,Guess What,Evergreen,2021-06-16,2022-08-25T12:15:04Z,206007,16,0.272,0.616,0.416,1.87e-05,0.161,-10.111,0.272,85.877
4gHcu2JoaXJ0mV4aNPCd7N,SOFTLY,CITY MELODY,Benny Sings,2018-09-07,2022-08-25T12:41:49Z,193868,25,0.101,0.925,0.594,0.0653,0.33,-8.388,0.0428,131.994
7pbDxGE6nQSZVfiFdq9lOL,Loving Is Easy (feat. Benny Sings),Loving Is Easy (feat. Benny Sings),Rex Orange County,2017-10-11,2022-08-25T14:23:50Z,155720,39,0.217,0.756,0.609,0.00482,0.0959,-7.927,0.0544,117.024
4gHcu2JoaXJ0mV4aNPCd7N,Nakameguro,Beat Tape,Benny Sings,2018-06-05,2022-08-25T16:30:09Z,130487,22,0.681,0.891,0.515,0.907,0.11,-7.755,0.0515,103.027
4gHcu2JoaXJ0mV4aNPCd7N,Softly (Tokyo),City Pop,Benny Sings,2019-02-22,2022-08-25T17:53:18Z,195720,30,0.0653,0.919,0.614,0.106,0.0829,-8.785,0.0394,132.038
6nS5roXSAGhTGr34W6n7Et,Feel Like I Do,Moog For Love,Disclosure,2016-06-15,2022-08-25T21:47:50Z,195136,55,0.0344,0.887,0.519,0.223,0.157,-7.992,0.107,104.996
1xU878Z1QtBldR7ru9owdU,If I Ever Feel Better,If I Ever Feel Better,Phoenix,2000,2022-08-26T16:10:05Z,222826,43,0.083,0.775,0.51,0.00163,0.108,-9.53,0.147,119.707
4gHcu2JoaXJ0mV4aNPCd7N,Familiar,City Pop,Benny Sings,2019-02-22,2022-08-26T16:16:00Z,187520,36,0.0397,0.911,0.306,0.546,0.0714,-13.42,0.0599,132.015
3C8RpaI3Go0yFF9whvKoED,Because I’m Me,Wildflower,The Avalanches,2016-07-08,2022-08-27T16:48:24Z,252800,57,0.0491,0.472,0.805,0.0162,0.337,-5.793,0.086,94.922
1uRxRKC7d9zwYGSRflTKDR,Why Why Why Why Why,5,SAULT,2019-05-05,2022-09-05T17:23:54Z,238679,60,0.338,0.805,0.61,0.0616,0.112,-6.64,0.0357,114.762
4m8zzr6DNSW4tkuyGHvF7h,Ja!,Du bist so symmetrisch,Klaus Johann Grobe,2018-10-26,2022-09-06T17:35:14Z,260812,34,0.0225,0.685,0.651,0.927,0.232,-7.864,0.029,98.015
2uKChU7eHSda8R79iR9rel,Beats!,Numwami World,David Numwami,2021-06-18,2022-09-06T17:46:14Z,165478,34,0.384,0.832,0.516,0.0055,0.26,-7.976,0.0334,100.952
6Tyzp9KzpiZ04DABQoedps,Another Lover - A COLORS SHOW,Another Lover - A COLORS SHOW,Little Dragon,2020-03-26,2022-09-06T20:18:27Z,267202,34,0.25,0.553,0.403,0.0629,0.124,-13.878,0.0864,80.531
5VXwGdDD7KI0NrlT4EzNzU,Hanen,Alech (Habibi Funk 004),Carthago,2016-12-02,2022-09-07T14:14:48Z,296000,18,0.483,0.687,0.806,0.193,0.539,-9.579,0.0521,136.502
4DMSJzGjw2SMkKAT5EEE5u,Anything at All,Helium,HOMESHAKE,2019-02-15,2022-09-10T22:03:35Z,181465,30,0.752,0.836,0.27,0.0257,0.113,-14.448,0.0969,117.999
4DMSJzGjw2SMkKAT5EEE5u,Early,Helium,HOMESHAKE,2019-02-15,2022-09-10T22:03:50Z,90945,29,0.98,0.456,0.00554,0.0,0.193,-28.843,0.057,49.598
7ltDVBr6mKbRvohxheJ9h1,CHICKEN TERIYAKI,MOTOMAMI +,ROSALÍA,2022-09-09,2022-09-15T02:57:53Z,122209,57,0.437,0.79,0.39,5.86e-05,0.103,-6.492,0.123,98.036
7ltDVBr6mKbRvohxheJ9h1,BULERÍAS,MOTOMAMI +,ROSALÍA,2022-09-09,2022-09-15T02:57:55Z,155861,56,0.936,0.776,0.458,0.000154,0.199,-6.281,0.291,127.358
5pg9cOudU7ezj3FnUABgu6,Duele,Duele,NAFTA,2021-07-30,2022-09-17T23:45:22Z,207809,43,0.604,0.694,0.394,0.000663,0.0806,-10.218,0.0427,144.848
5pg9cOudU7ezj3FnUABgu6,Unos Días Más,Nafta,NAFTA,2019-10-18,2022-09-17T23:53:30Z,171985,43,0.362,0.855,0.262,0.000241,0.123,-9.549,0.258,91.057
55i4AnS7E58y41UwE0vvQh,Vous,Vous,Jacques,2021-06-03,2022-09-22T13:09:37Z,194960,33,0.664,0.792,0.529,0.000575,0.133,-10.845,0.214,105.986
7d64ZVOXg02y73HB5UMqkb,Mother Nature's Bitch,Watch This Liquid Pour Itself,Okay Kaya,2020-01-24,2022-10-12T13:44:15Z,93737,68,0.176,0.729,0.588,0.582,0.216,-10.167,0.0339,126.023
6BkeI9oZkqskZ4XMwy5OFl,Condemned to Be Freaky,Eternal Slowdown,Brad stank,2018-12-07,2022-10-14T13:39:14Z,181169,51,0.0982,0.775,0.514,0.494,0.116,-8.471,0.0333,96.982
6BkeI9oZkqskZ4XMwy5OFl,Take Me to the Crib,Eternal Slowdown,Brad stank,2018-12-07,2022-10-15T23:23:28Z,262934,44,0.503,0.783,0.384,0.699,0.0692,-12.332,0.0316,119.964
77mJc3M7ZT5oOVM7gNdXim,If You Know What's Right,Invitation to Her's,Her's,2018-08-24,2022-10-16T14:09:33Z,200455,53,0.00271,0.639,0.859,0.541,0.149,-4.569,0.0302,89.987
77mJc3M7ZT5oOVM7gNdXim,Harvey,Invitation to Her's,Her's,2018-08-24,2022-10-23T01:59:01Z,211165,68,0.0735,0.588,0.855,0.815,0.128,-6.153,0.0372,141.941
7kAZYW5e5hQHYGQ0XHYhns,Taking Up Space,Zest Pop,Mustard Service,2017-06-17,2022-10-24T02:10:54Z,217600,30,0.12,0.658,0.463,0.00443,0.406,-12.774,0.0359,90.055
6LEeAFiJF8OuPx747e1wxR,Orlando,Negro Swan,Blood Orange,2018-08-24,2022-10-24T02:11:09Z,182893,56,0.546,0.764,0.534,0.0823,0.404,-10.966,0.0982,143.519
75cW8FFekyCjj0mfZM1Gfb,Groovin',Kahunastyle,Flamingosis,2016-02-16,2022-10-29T04:34:21Z,213559,50,0.00071,0.706,0.886,0.396,0.117,-3.432,0.0603,117.976
7pnSUizGuS2tAW2yCAhafn,Swept Away,Origin,Vanilla,2015-09-20,2022-10-29T04:38:41Z,239952,29,0.0231,0.728,0.668,0.76,0.124,-8.361,0.0406,92.03
2iGwIqfIXRskkGakunO9sf,Permis b bébé,Miel de Montagne,Miel De Montagne,2019-04-05,2022-11-06T23:50:58Z,189776,55,0.12,0.922,0.521,0.589,0.0638,-8.868,0.04,118.002
7G1GBhoKtEPnP86X2PvEYO,I Wish I Knew How It Would Feel to Be Free,Silk & Soul (Expanded Edition),Nina Simone,1967,2022-11-07T02:29:18Z,188613,64,0.745,0.687,0.51,0.0,0.117,-8.501,0.076,122.253
4gzpq5DPGxSnKTe4SA8HAU,Biutyful,Biutyful,Coldplay,2022-07-06,2022-11-08T04:00:46Z,192394,67,0.0168,0.614,0.68,0.00056,0.118,-7.84,0.0425,153.937
4gzpq5DPGxSnKTe4SA8HAU,♾,Music Of The Spheres,Coldplay,2021-10-15,2022-11-08T04:02:40Z,226140,57,0.00941,0.576,0.896,0.955,0.153,-8.994,0.0412,135.01
2O2KJngZ80ZTK71HamDNYi,Melty Caramelo,Foam,Divino Niño,2019-06-21,2022-11-25T23:23:03Z,236637,37,0.0821,0.587,0.494,0.0106,0.0426,-12.166,0.0414,154.016
